event_id,event_date,event_type,valence,hf_weighted,hf_total_v3,delta_hf_weighted,source_category
e828ff6e1738,1947-10-17,psychological_crisis,negative,-9.958127227218526,-6.868003492157957,3.2900037274708502,birth_certificate
8a6e16007649,1961-06-01,education_end,positive,-13.398046534383017,-9.853246849333656,-0.1499155796936406,birth_certificate
ead93b5d5063,1962-01-01,education_start,neutral,-11.773628486831097,-8.769843743709531,1.4745024678582794,birth_certificate
04178a32c901,1963-09-28,arrest,negative,-12.797145652042456,-9.046623740598482,0.4509853026469201,birth_certificate
2c96210b20b5,1964-01-01,education_start,neutral,-11.13403217354328,-7.09290279241598,2.1140987811460974,birth_certificate
f857aa42b668,1965-01-01,professional_milestone,positive,-12.688321115824136,-9.573830603034898,0.5598098388652399,birth_certificate
dcae3556482f,1967-01-01,professional_milestone,positive,-14.98075746581625,-11.386771973588928,-1.732626511126874,birth_certificate
dcae3556482f,1967-01-01,arrest,negative,-14.98075746581625,-11.386771973588928,-1.732626511126874,birth_certificate
b57e93da16be,1967-09-30,marriage,positive,-10.674129874871598,-7.51020921897636,2.574001079817778,birth_certificate
eb0bc1ebab5f,1969-01-01,political_event,negative,-11.458340299680495,-7.88843147665059,1.7897906550088791,birth_certificate
ca7479878bc7,1971-07-03,death,negative,-13.689239922178738,-9.985276490601027,-0.4411089674893613,birth_certificate
b5cd924db91c,1993-01-01,award,positive,-11.69752546959438,-8.080633223229334,1.5506054850949962,birth_certificate
c4c2c326daba,1929-06-04,divorce,negative,-18.2213381109176,-14.823346092544824,-6.8608685755043854,birth_certificate
80a98ea75164,1933-02-11,birth_child,positive,-8.807953002002403,-4.963613450224026,2.552516533410808,birth_certificate
8899ea2805bb,1935-01-01,professional_milestone,positive,-15.44496581310214,-11.472334121081428,-4.084496277688929,birth_certificate
3a8b0a0368c0,1935-07-01,death,negative,-19.50391986800321,-16.20539554399081,-8.143450332590001,birth_certificate
2afc6765b429,1944-12-01,professional_milestone,positive,-12.476952857068431,-7.637751639525913,-1.116483321655222,birth_certificate
d2f894cec1e1,1945-01-01,artistic_creation,positive,-14.861474612899244,-10.29045139896166,-3.501005077486033,birth_certificate
5001ef65f932,1947-01-01,artistic_creation,positive,-12.114982786059754,-8.202145009030993,-0.7545132506465428,birth_certificate
b8c171fa3485,1950-07-01,relationship_start,positive,-12.569190900071064,-9.44001065878162,-1.208721364657853,birth_certificate
45acdb92c7f1,1951-01-01,accident,negative,-11.346092888660984,-6.2667674233338495,0.0143766467522254,birth_certificate
3f8aafd5eb85,1952-01-01,marriage,positive,-12.699533799403738,-7.885297736530333,-1.3390642639905277,birth_certificate
0f1385827346,1952-09-20,marriage,positive,-13.942891425305309,-10.360507589217182,-2.582421889892098,birth_certificate
0f1385827346,1952-09-20,marriage,positive,-13.942891425305309,-10.360507589217182,-2.582421889892098,birth_certificate
