house,domain_name,n_total,n_positive,n_negative,n_neutral,mean_hf_positive,mean_hf_negative,pearson_r_global,pearson_r_domain,cohens_d_global,cohens_d_domain,p_value_global,significant_p05
1,Identidad,3,0,1,2,,,0.0228,-0.8898,,,,False
2,Recursos,2,0,2,0,,-12.6957,,,,,,False
3,Comunicacion,0,0,0,0,,,,,,,,False
4,Hogar,0,0,0,0,,,,,,,,False
5,Creatividad,57,51,1,5,,,0.2002,0.3497,,,0.1547,False
6,Trabajo/Salud,10,0,9,1,,,-0.123,-0.1173,,,0.7526,False
7,Relaciones,93,81,9,3,-11.8192,-12.435,0.0626,0.0406,0.2066,0.0547,0.558,False
8,Transformacion,34,0,34,0,,-13.5028,,,,,,False
9,Expansion,66,14,4,48,,,-0.0626,-0.0455,-0.221,-0.1748,0.805,False
10,Carrera,250,231,4,15,,,0.0737,0.0131,0.5668,0.0559,0.2608,False
12,Inconsciente,12,0,5,7,,,-0.0697,-0.3774,,,0.9114,False
